influencing_tax_ident,influenced_tax_ident,rel_type_code,percentage,valid_from,valid_to
2407020166,2812760140,control,40,2023-01-01,2023-12-31
2407020166,2812760140,control,60,2024-01-01,2024-12-31
2407020166,2812760140,control,60,2025-01-01,infinity
2407020166,2602025168,ownership,100,2023-01-01,2023-12-31
2407020166,2602025168,ownership,100,2024-01-01,2024-12-31
2407020166,2602025168,ownership,100,2025-01-01,infinity
397611,397622,control,34,2023-01-01,2023-12-31
397611,397622,control,51,2024-01-01,2024-12-31
397611,397622,control,51,2025-01-01,infinity
2612760138,2507020167,control,75,2024-01-01,2024-12-31
2612760138,2507020167,control,75,2025-01-01,infinity
2200019,3300598,ownership,80,2023-01-01,2023-12-31
2200019,3300598,ownership,80,2024-01-01,2024-12-31
2200019,3300598,ownership,50,2025-01-01,infinity
